"","X2.5..gy_A_AA","X50..gy_A_AA","X97.5..gy_A_AA"
"1",0.6,1.15384615384615,3
"2",0.608695652173913,1.16666666666667,3.5
"3",0.458333333333333,0.916666666666667,2.75
"4",0.521739130434783,1.09090909090909,3
"5",0.619047619047619,1.3,4.33333333333333
"6",0.65,1.44444444444444,4.33333333333333
"7",0.75,1.66666666666667,5
"8",0.571428571428571,1.2,4
"9",0.434782608695652,0.909090909090909,2.5
"10",0.521739130434783,1.09090909090909,3
"11",0.608695652173913,1.27272727272727,3.5
"12",0.791666666666667,1.72727272727273,4.75
"13",0.708333333333333,1.54545454545455,4.25
