"","ITS Lower CI","ITS Point Estimate","ITS Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"0",0.64,0.83,1,"0.750961504934943","0.850274683917861","1.02447762792344","cJ20_J22","1","0.7","0.89","1.14","E00_99","1","0.7","0.89","1.08","M00_99","0.35","0.67","0.87","1.12"
"1",0.59,0.71,0.82,"0.723946877924564","0.774551733723951","0.818481319020348","cJ20_J22","1","0.69","0.75","0.9","E40_46","1","0.68","0.75","0.87","K00_99","0.13","0.73","0.79","1.01"
"2",0.68,0.79,0.88,"0.723285272604703","0.765327461163113","0.86433019704885","cJ20_J22","1","0.75","0.82","0.97","E40_46","0.87","0.67","0.81","0.96","N39","0.35","0.67","0.78","0.91"
"3",0.79,0.86,0.91,"0.725082859344078","0.787732957352584","0.887665127380859","K00_99","0.6","0.71","0.76","0.92","cJ20_J22","0.56","0.65","0.77","0.93","P00_99","0.53","0.7","0.75","0.91"
"4",0.74,0.8,0.85,"0.68478155807447","0.797610558431131","0.887838760945622","pandemic","1","0.57","0.72","0.82","P00_99","0.66","0.64","0.74","0.86","K00_99","0.58","0.59","0.74","0.85"
"5",0.79,0.86,0.93,"0.655554967687597","0.779526337587785","0.920865624926438","pandemic","1","0.57","0.64","0.79","A41","0.87","0.73","0.85","0.97","Z00_99","0.6","0.66","0.79","0.88"
"6",0.92,0.99,1.05,"0.779103554415455","1.04468235333916","1.1041630558232","pandemic","1","0.69","0.84","0.95","E00_99","0.91","0.64","0.85","0.97","K35","0.28","0.68","0.86","0.96"
"7",0.89,1.04,1.16,"0.940045034173539","1.11696694475273","1.40661008799274","E00_99","0.99","0.81","0.95","1.17","P00_99","0.48","0.82","0.97","1.25","cJ20_J22","0.31","0.8","0.92","1.29"
"8",0.9,0.98,1.07,"0.878135336581554","0.988976116955047","1.17580978621166","A41","0.76","0.9","1.08","1.22","I00_99","0.54","0.84","0.99","1.12","H00_99_SY","0.27","0.87","1","1.1"
"9",0.68,0.77,0.83,"0.720992741941277","0.756476860063996","0.942401912245763","cJ20_J22","1","0.68","0.75","0.97","E40_46","0.97","0.67","0.8","0.92","pandemic","0.19","0.69","0.78","0.88"
