"","Time trend Estimate (95% CI)"
"08_1_11","1.2 (0.95, 1.54)"
"08_1_12","1.12 (0.78, 1.61)"
"08_1_13","0.9 (0.68, 1.17)"
"08_1_15","1.04 (0.83, 1.29)"
"08_1_17","0.92 (0.75, 1.14)"
"08_2_21","0.73 (0.56, 0.95)"
"08_2_22","1.01 (0.79, 1.29)"
"08_2_23","0.98 (0.8, 1.22)"
"08_2_24","0.86 (0.68, 1.09)"
"08_2_25","1.13 (0.9, 1.43)"
"08_2_26","1.42 (1.21, 1.67)"
"08_2_27","1.07 (0.79, 1.44)"
"08_2_28","1.36 (0.99, 1.89)"
"08_2_29","0.87 (0.74, 1.03)"
"08_3_31","0.93 (0.84, 1.04)"
"08_3_32","0.99 (0.87, 1.13)"
"08_3_33","1.01 (0.89, 1.15)"
"08_3_35","0.97 (0.88, 1.07)"
"08_4_41","0.89 (0.8, 0.99)"
"08_4_42","1.07 (0.96, 1.19)"
"08_4_43","0.79 (0.68, 0.9)"
"08_5_50","1.18 (0.98, 1.41)"
"08_5_51","1.04 (0.86, 1.27)"
"08_5_52","1.06 (0.87, 1.28)"
"08_5_53","1.1 (0.88, 1.35)"
"08_1_AA","1.04 (0.9, 1.2)"
"08_2_AA","1 (0.85, 1.17)"
"08_3_AA","0.97 (0.87, 1.07)"
"08_4_AA","0.89 (0.81, 0.96)"
"08_5_AA","1.1 (0.95, 1.28)"
"08_A_AA","0.98 (0.9, 1.09)"
