"","SC Estimate (95% CI)"
"9_1","0.72 (0.42, 1.27)"
"9_10","0.75 (0.57, 1.08)"
"9_11","0.87 (0.68, 1.09)"
"9_12","0.7 (0.47, 0.86)"
"9_13","0.67 (0.33, 1.43)"
"9_14","1.19 (0.87, 1.64)"
"9_15","0.72 (0.62, 0.85)"
"9_16","1.09 (0.82, 1.27)"
"9_17","0.72 (0.55, 0.93)"
"9_19","0.7 (0.57, 0.99)"
"9_2","0.97 (0.71, 1.29)"
"9_20","0.95 (0.61, 1.21)"
"9_21","0.84 (0.68, 1)"
"9_22","0.65 (0.45, 0.84)"
"9_23","1.13 (0.86, 1.53)"
"9_24","0.67 (0.42, 0.94)"
"9_25","0.87 (0.63, 1.23)"
"9_26","0.77 (0.51, 1.02)"
"9_27","1.3 (1.09, 1.53)"
"9_28","1.13 (0.78, 1.51)"
"9_29","0.82 (0.53, 1.32)"
"9_30","0.83 (0.7, 1)"
"9_31","1.02 (0.52, 1.72)"
"9_32","1.07 (0.82, 1.35)"
"9_4","0.86 (0.72, 1.03)"
"9_5","0.79 (0.44, 1.51)"
"9_7","0.94 (0.76, 1.15)"
"9_8","0.98 (0.76, 1.25)"
"9_9","1.04 (0.91, 1.18)"
